Region,Score_TBV_Ratio
1,0.17961772723090072
2,-0.045521541
3,-0.323207623
4,-0.678205379
5,0.019679054381708586
6,-0.223934477
7,-0.085208219
8,-0.088078196
9,0.090942945
10,-0.09078594
11,0.6784224903071575
12,0.3090148729214308
13,0.5738037909420143
14,0.4870106909571013
15,0.7008590313520454
16,0.6205122097137906
17,0.8216308817986848
18,0.9176161392159895
19,-0.484720428
20,0.072615351
21,0.300700708
22,0.383052137
23,-0.663888041
24,-0.159125887
25,-0.767512339
26,-0.212956197
27,0.072084908
28,0.027967059748956104
29,1.0018148590563793
30,0.929297175
31,-0.682118959
32,-0.174266184
33,-0.134095713
34,0.003581462
35,0.23824335453248116
36,0.002543494
39,0.26679432066546704
40,-0.515251428
43,0.4427032903797462
44,0.4547521099124814
45,0.2572150950374394
46,-0.632917381
47,0.9366388502776326
48,0.2882254427198617
49,-0.122448181
50,-0.220326983
51,0.5208346519408904
52,0.6520173297310132
53,0.3652641286628165
54,0.3281850953833865
55,0.8537570933174641
56,1.0656438699782154
57,0.15168671738061149
58,0.1990990466991272
59,-0.272135239
60,-0.129997855
61,0.5057066933466974
62,0.3886734427915303
63,0.11565706849453292
64,-0.080930958
65,-0.282252005
66,0.021328514789145218
67,0.36651730403381066
68,-0.314656976
69,-0.134354816
70,0.40692197847927775
79,0.2380344908820636
80,0.2595734355616103
81,0.8335694153932939
82,0.4563234054613217
83,0.8691281288435907
84,0.6876886656389977
85,1.1216217367223789
86,1.036862355804658
87,0.4889060900795241
88,0.28220604947182504
89,0.3829313139141903
90,0.6840945271924742